,Unnamed: 0,Unnamed: 0.1,City,Lat,Temp,Humidity,Cloudiness,Wind Speed,Max Temp
574,574,574,fairhope,30.52,81.16,94.0,1,7.56,82.99
575,575,575,staraya toropa,56.28,49.72,85.0,78,12.75,55.38
576,576,576,cooma,-36.24,46.4,57.0,0,5.82,48.2
577,577,577,khandbari,27.38,58.9,86.0,36,4.5,66.72
578,578,578,lulea,65.58,46.4,58.0,0,2.24,57.2
579,579,579,half moon bay,37.46,64.24,87.0,90,9.17,60.01
580,580,580,belaya gora,68.54,56.38,51.0,96,12.33,58.62
581,581,581,owando,-0.49,73.12,87.0,71,4.41,73.74
582,582,582,tigil,57.8,59.8,61.0,63,12.46,61.14
583,583,583,rawson,-43.3,36.76,77.0,54,14.45,34.5
584,584,584,verkhoyansk,67.55,47.56,64.0,100,15.64,48.36
585,585,585,palmas,-10.18,71.6,82.0,0,6.93,66.2
587,587,587,vardo,39.62,74.62,94.0,1,2.95,75.2
588,588,588,deep river,46.1,72.39,93.0,1,2.24,62.01
589,589,589,sao jose da coroa grande,-8.9,70.96,95.0,2,2.19,70.14
591,591,591,altamira,-3.2,75.64,98.0,100,2.62,71.94
592,592,592,auki,12.18,77.98,78.0,96,8.55,76.44
593,593,593,beringovskiy,63.05,61.24,56.0,61,8.7,62.94
594,594,594,popondetta,-8.77,71.14,88.0,76,3.91,70.5
595,595,595,praia,-20.25,62.69,82.0,0,2.3,57.2
596,596,596,pangnirtung,66.15,49.36,84.0,85,1.3,44.58
597,597,597,japura,-0.42,75.28,61.0,93,4.79,88.68
598,598,598,sabang,13.8,79.42,76.0,95,1.79,85.08
599,599,599,awash,8.99,69.88,80.0,100,9.98,70.5
601,601,601,xuddur,4.12,70.96,59.0,58,19.93,77.7
602,602,602,mecca,21.43,76.9,34.0,0,14.03,92.1
603,603,603,tera,34.97,73.15,69.0,20,12.75,84.0
604,604,604,puteyets,65.17,61.78,40.0,32,14.92,78.24
605,605,605,corning,42.14,70.07,100.0,75,3.36,69.8
606,606,606,erice,38.04,75.42,78.0,0,5.82,84.0
607,607,607,salto,-23.2,69.33,68.0,0,4.7,68.0
608,608,608,la ronge,55.1,51.8,87.0,20,9.17,46.4
611,611,611,alyangula,-13.85,80.6,47.0,64,8.05,78.8
613,613,613,matara,-3.48,50.8,73.0,20,3.85,71.6
615,615,615,menongue,-14.66,46.3,52.0,0,4.79,44.4
616,616,616,sarankhola,22.31,80.86,74.0,77,9.35,88.86
617,617,617,palakkad,10.77,77.0,58.0,20,17.22,87.8
